question,choice,text,value
q89,b,I have had a tendency not to assert myself enough with people,A
q90,a,"Typically, I have been even-tempered",C
q90,b,"Typically, I have had strong changes of mood",E
q91,a,"When I've been unsure of what to do, I've often sought the advice of others",B
q91,b,"When I've been unsure of what to do, I've tried different things to see what worked best for me",I
q92,a,I have worried that I would be left out of other's activities,F
q92,b,I have worried that others' activities would distract me from what I had to do,D
q93,a,"Typically, when I have gotten angry, I have told people off",G
q93,b,"Typically, when I have gotten angry, I have become distant",C
q94,a,I've tended to have trouble falling asleep,H
q94,b,I've tended to fall asleep easily,A
q95,a,I have often tried to figure out how I could get closer to others,F
q95,b,I have often tried to figure out what others want from me,B
q96,a,"I have usually been measured, straight-talking, and deliberate",G
q96,b,"I have usually been excitable, fast-talking, and witty",I
q97,a,"Often, I have not spoken up when I've seen others making a mistake",E
q97,b,"Often, I have helped others see that they are making a mistake",D
q98,a,"During most of my life, I have been a stormy person who has had many volatile feelings",I
q98,b,"During most of my life, I have been a steady person in whom 'still waters run deep",A
q99,a,"When I have disliked people, I have usually tried hard to stay cordial—despite my feelings",C
q99,b,"When I have disliked people, I have usually let them know it—one way or another",B
q100,a,Much of my difficulty with people has come from my touchiness and taking everything too personally,E
q100,b,Much of my difficulty with people has come from my not caring about social conventions,H
q101,a,My approach has been to jump in and rescue people,F
q101,b,My approach has been to show people how to help themselves,G
q102,a,"Generally, I have enjoyed 'letting go' and pushing the limits",I
q102,b,"Generally, I have not enjoyed losing control of myself very much",D
q103,a,I've been overly concerned with doing better than others,C
q103,b,I've been overly concerned with making things okay for others,A
q104,a,My thoughts generally have been speculative—involving my imagination and curiosity,H
q104,b,My thoughts generally have been practical—just trying to keep things going,B
q105,a,One of my main assets has been my ability to take charge of situations,G
q105,b,One of my main assets has been my ability to describe internal states,E
q106,a,"I have pushed to get things done correctly, even if it made people uncomfortable",D
q106,b,"I have not liked feeling pressured, so I have not liked pressuring anyone else",A
q107,a,I've often taken pride in how important I am in others' lives,F
q107,b,I've often taken pride in my gusto and openness to new experiences,I
q108,a,"I have perceived that I've often come across to others as presentable, even admirable",C
q108,b,"I have perceived that I've often come across to others as unusual, even odd",H
q109,a,I have mostly done what I had to do,B
q109,b,I have mostly done what I wanted to do,E
q110,a,"I have usually enjoyed high-pressure, even difficult, situations",G
q110,b,"I have usually disliked being in high-pressure, even difficult, situations",A
q111,a,I've been proud of my ability to be flexible—what's appropriate or important often changes,C
q111,b,I've been proud of my ability to take a stand—I've been firm about what I believe in,D
q112,a,My style has leaned toward spareness and austerity,D
q112,b,My style has leaned toward excess and over-doing things,I
q113,a,My own health and well-being have suffered because of my strong desire to help others,D
q113,b,My relationships have suffered because of my strong desire to attend to my personal needs,E
q114,a,"Generally speaking, I've been too open and naive",A
q114,b,"Generally speaking, I've been too wary and guarded",B
q115,a,I have sometimes put people off by being too aggressive,G
q115,b,"I have sometimes put people off by being too ""up-tight",D
q116,a,Being of service and attending to the needs of others has been a high priority for me,F
q116,b,Finding alternative ways of seeing and doing things has been a high priority for me,H
q117,a,I've been single-minded and persistent in pursuing my goals,C
q117,b,I've preferred to explore various courses of action to see where they lead,I
q118,a,"I have frequently been drawn to situations that stir up deep, intense emotions",E
q118,b,I have frequently been drawn to situations that make me feel calm and at ease,A
q119,a,I have cared less about practical results than about pursuing my interests,H
q119,b,I have been practical and have expected my work to have concrete results,G
q120,a,I have had a deep need to belong,B
q120,b,I have had a deep need to feel balanced,D
q121,a,"In the past, I've probably insisted on too much closeness in my friendships",F
q121,b,"In the past, I've probably kept too much distance in my friendships",C
q122,a,I've had a tendency to keep thinking about things from the past,E
q122,b,I've had a tendency to keep anticipating things I'm going to do,I
q123,a,I've tended to see people as intrusive and demanding,H
q123,b,I've tended to see people as disorganized and irresponsible,C
q124,a,"Generally, I have not had much confidence in myself",C
q124,b,"Generally, I have had confidence only in myself",E
q125,a,I've probably been too passive and uninvolved,C
q125,b,I've probably been too controlling and manipulative,A
q126,a,I've frequently been stopped in my tracks by my self-doubt,E
q126,b,I've rarely let self-doubt stand in my way,C
q127,a,"Given a choice between something familiar and something new, I've usually chosen something new",C
q127,b,I've generally chosen what I know I already liked: why be disappointed with something I might not like?,B
q128,a,I have given a lot of physical contact to reassure others about how I feel about them,G
q128,b,I have generally felt that real love does not depend on physical contact,D
q129,a,"When I've needed to confront someone, I've often been too harsh and direct",I
q129,b,"When I've needed to confront someone, I've often 'beaten around the bush' too much",C
q130,a,"I have been attracted to subjects that others would probably find disturbing, even frightening",C
q130,b,"I have preferred not to spend my time dwelling on disturbing, frightening subjects",A
q131,a,I have gotten into trouble with people by being too intrusive and interfering,G
q131,b,I have gotten into trouble with people by being too evasive and uncommunicative,B
q132,a,I've worried that I don't have the resources to fulfill the responsibilities I've taken on,I
q132,b,I've worried that I don't have the self-discipline to focus on what will really fulfill me,A
q133,a,"Generally, I've been a highly intuitive, individualistic person",A
q133,b,"Generally, I've been a highly organized, responsible person",F
q134,a,Overcoming inertia has been one of my main problems,A
q134,b,Being unable to slow down has been one of my main problems,I
q135,a,"When I've felt insecure, I've reacted by becoming arrogant and dismissive",C
q135,b,"When I've felt insecure, I've reacted by becoming defensive and argumentative",B
q136,a,I have generally been open-minded and willing to try new approaches,H
q136,b,I have generally been self-revealing and willing to share my feelings with others,E
q137,a,I've presented myself to others as tougher than I really am,G
q137,b,I've presented myself to others as caring more than I really do,F
q138,a,I usually have followed my conscience and reason,D
q138,b,I usually have followed my feelings and impulses,I
q139,a,Serious adversity has made me feel hardened and resolute,C
q139,b,Serious adversity has made me feel discouraged and resigned,A
q140,a,"I usually have made sure that I had some kind of """"safety net"""" to fall back on",B
q140,b,I usually have chosen to live on the edge and to depend on as little as possible,H
q141,a,"I've had to be strong for others, so I haven't had time to deal with my feelings and fears",G
q141,b,"I've had difficulty coping with my feelings and fears, so it's been hard for me to be strong for others",E
q142,a,I have often wondered why people focus on the negative when there is so much that's wonderful about life,A
q142,b,I have often wondered why people are so happy when so much in life is messed up,D
q143,a,I have tried hard not to be seen as a selfish person,F
q143,b,I have tried hard not to be seen as a boring person,I
q144,a,I have avoided intimacy when I feared I would be overwhelmed by people's needs and demands,H
q144,b,I have avoided intimacy when I feared I would not be able to live up to people's expectations of me,C
